Run,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,0.995418,0.999696,0.994796,0.99724,51327,77,1326,253471
2,0.995157,0.999015,0.995161,0.997084,51154,250,1233,253564
3,0.984027,0.999764,0.981036,0.990311,51345,59,4832,249965
4,0.993818,0.999696,0.992873,0.996273,51327,77,1816,252981
5,0.981672,0.998344,0.979599,0.988883,50990,414,5198,249599
6,0.991359,0.999667,0.989945,0.994782,51320,84,2562,252235
7,0.992606,0.999095,0.992013,0.995541,51175,229,2035,252762
8,0.993978,0.999144,0.993615,0.996371,51187,217,1627,253170
9,0.99454,0.999121,0.994313,0.996711,51181,223,1449,253348
10,0.995291,0.999413,0.994925,0.997164,51255,149,1293,253504
11,0.992355,0.999016,0.99179,0.995389,51155,249,2092,252705
12,0.991633,0.998439,0.991495,0.994955,51009,395,2167,252630
13,0.99292,0.999103,0.992382,0.995731,51177,227,1941,252856
14,0.984435,0.999377,0.981907,0.990565,51248,156,4610,250187
15,0.991512,0.999667,0.990129,0.994875,51320,84,2515,252282
16,0.990033,0.999575,0.988442,0.993977,51297,107,2945,251852
17,0.989791,0.999694,0.988034,0.99383,51327,77,3049,251748
18,0.995398,0.999523,0.994945,0.997229,51283,121,1288,253509
19,0.986395,0.999721,0.983924,0.99176,51334,70,4096,250701
20,0.985379,0.998924,0.983489,0.991146,51134,270,4207,250590
21,0.99437,0.999278,0.993952,0.996608,51221,183,1541,253256
22,0.990944,0.999255,0.989855,0.994533,51216,188,2585,252212
23,0.985222,0.999346,0.982884,0.991047,51240,164,4361,250436
24,0.993174,0.998816,0.992975,0.995887,51104,300,1790,253007
25,0.982773,0.999356,0.979929,0.989547,51243,161,5114,249683
26,0.980578,0.998777,0.977857,0.988206,51099,305,5642,249155
27,0.98308,0.997342,0.982284,0.989756,50737,667,4514,250283
28,0.991006,0.999457,0.989729,0.994569,51267,137,2617,252180
29,0.980888,0.999074,0.977939,0.988394,51173,231,5621,249176
30,0.988344,0.999722,0.986267,0.992949,51334,70,3499,251298
31,0.995075,0.999598,0.994482,0.997033,51302,102,1406,253391
32,0.988207,0.999594,0.986228,0.992866,51302,102,3509,251288
33,0.989948,0.999084,0.988826,0.993929,51173,231,2847,251950
34,0.981437,0.999783,0.977904,0.988723,51350,54,5630,249167
35,0.981101,0.999146,0.978124,0.988523,51191,213,5574,249223
36,0.993958,0.999806,0.992932,0.996357,51355,49,1801,252996
37,0.992786,0.999028,0.992296,0.995651,51158,246,1963,252834
38,0.983452,0.999544,0.980561,0.989961,51290,114,4953,249844
39,0.9897,0.999774,0.987845,0.993774,51347,57,3097,251700
40,0.98292,0.9997,0.979768,0.989634,51329,75,5155,249642
41,0.986385,0.999661,0.983972,0.991754,51319,85,4084,250713
42,0.988419,0.99886,0.987209,0.993001,51117,287,3259,251538
43,0.984298,0.998496,0.98261,0.990489,51027,377,4431,250366
44,0.991048,0.99977,0.98947,0.994593,51346,58,2683,252114
45,0.995385,0.999499,0.994953,0.997221,51277,127,1286,253511
46,0.993769,0.99964,0.992869,0.996243,51313,91,1817,252980
47,0.988932,0.999563,0.987131,0.993308,51294,110,3279,251518
48,0.994282,0.999743,0.993383,0.996553,51339,65,1686,253111
49,0.994559,0.999459,0.993999,0.996722,51267,137,1529,253268
50,0.995069,0.999594,0.994478,0.997029,51301,103,1407,253390
51,0.985461,0.999585,0.982935,0.99119,51300,104,4348,250449
52,0.990585,0.999322,0.989356,0.994314,51233,171,2712,252085
53,0.986091,0.999629,0.98365,0.991575,51311,93,4166,250631
54,0.990663,0.999294,0.989478,0.994362,51226,178,2681,252116
55,0.990572,0.998583,0.990074,0.99431,51046,358,2529,252268
56,0.993841,0.999802,0.992794,0.996286,51354,50,1836,252961
57,0.993344,0.999656,0.992343,0.995986,51317,87,1951,252846
58,0.990506,0.998173,0.990404,0.994273,50942,462,2445,252352
59,0.991633,0.99977,0.990173,0.994948,51346,58,2504,252293
60,0.983913,0.999444,0.981212,0.990245,51265,139,4787,250010
61,0.990516,0.999314,0.989282,0.994273,51231,173,2731,252066
62,0.992338,0.999035,0.99175,0.995379,51160,244,2102,252695
63,0.992845,0.999367,0.992029,0.995685,51244,160,2031,252766
64,0.991352,0.999335,0.990267,0.99478,51236,168,2480,252317
65,0.990042,0.999766,0.988265,0.993982,51345,59,2990,251807
66,0.992191,0.998968,0.99164,0.995291,51143,261,2130,252667
67,0.988694,0.998125,0.988269,0.993173,50931,473,2989,251808
68,0.994174,0.999554,0.993442,0.996488,51291,113,1671,253126
69,0.98385,0.999041,0.981534,0.99021,51164,240,4705,250092
70,0.994004,0.999431,0.993359,0.996386,51260,144,1692,253105
71,0.987652,0.999785,0.985373,0.992527,51350,54,3727,251070
72,0.992306,0.999095,0.991652,0.995359,51175,229,2127,252670
73,0.987642,0.999578,0.985565,0.992522,51298,106,3678,251119
74,0.988272,0.99971,0.986193,0.992905,51331,73,3518,251279
75,0.995189,0.999586,0.994631,0.997102,51299,105,1368,253429
76,0.994115,0.999037,0.993885,0.996455,51160,244,1558,253239
