Run,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
2,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
3,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
4,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
5,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
6,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
7,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
8,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
9,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
10,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
11,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
12,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
13,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
14,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
15,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
16,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
17,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
18,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
19,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
20,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
21,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
22,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
23,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
24,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
25,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
26,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
27,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
28,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
29,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
30,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
31,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
32,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
33,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
34,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
35,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
36,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
37,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
38,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
39,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
40,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
41,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
42,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
43,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
44,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
45,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
46,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
47,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
48,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
49,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
50,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
51,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
52,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
53,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
54,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
55,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
56,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
57,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
58,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
59,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
60,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
61,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
62,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
63,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
64,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
65,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
66,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
67,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
68,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
69,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
70,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
71,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
72,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
73,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
74,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
75,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
76,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
77,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
78,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
79,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
80,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
81,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
82,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
83,0.981855,0.999375,0.978807,0.988984,51248,156,5400,249397
84,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
85,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
86,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
87,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
88,0.981858,0.999375,0.978811,0.988986,51248,156,5399,249398
89,0.981852,0.999375,0.978803,0.988982,51248,156,5401,249396
