Iteration,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,0.972031,0.999712,0.966668,0.982912,51333,71,8493,246304
2,0.97228,0.999712,0.966966,0.983066,51333,71,8417,246380
3,0.972838,0.999708,0.967641,0.983413,51332,72,8245,246552
4,0.971538,0.999699,0.966087,0.982606,51330,74,8641,246156
5,0.967975,0.999698,0.961805,0.980385,51330,74,9732,245065
6,0.9708,0.999711,0.965188,0.982146,51333,71,8870,245927
7,0.972796,0.999708,0.96759,0.983387,51332,72,8258,246539
8,0.972773,0.999712,0.967558,0.983373,51333,71,8266,246531
9,0.97273,0.999704,0.967515,0.983346,51331,73,8277,246520
10,0.972832,0.999712,0.967629,0.983409,51333,71,8248,246549
11,0.972427,0.999692,0.967162,0.983158,51328,76,8367,246430
12,0.972289,0.999712,0.966978,0.983072,51333,71,8414,246383
13,0.970304,0.999703,0.964599,0.981838,51331,73,9020,245777
14,0.971313,0.999708,0.965808,0.982465,51332,72,8712,246085
15,0.970614,0.999707,0.964968,0.982031,51332,72,8926,245871
16,0.972316,0.999712,0.967009,0.983089,51333,71,8406,246391
17,0.969618,0.999727,0.963752,0.98141,51337,67,9236,245561
18,0.972639,0.9997,0.967409,0.98329,51330,74,8304,246493
19,0.969801,0.999703,0.963995,0.981524,51331,73,9174,245623
20,0.972789,0.999724,0.967566,0.983382,51336,68,8264,246533
21,0.961231,0.999704,0.953693,0.976156,51332,72,11799,242998
22,0.972678,0.999696,0.96746,0.983314,51329,75,8291,246506
23,0.972649,0.9997,0.967421,0.983296,51330,74,8301,246496
24,0.970764,0.999695,0.965161,0.982124,51329,75,8877,245920
25,0.972841,0.999708,0.967645,0.983415,51332,72,8244,246553
26,0.9724,0.9997,0.967123,0.983142,51330,74,8377,246420
27,0.972629,0.999708,0.96739,0.983283,51332,72,8309,246488
28,0.972828,0.99972,0.967617,0.983407,51335,69,8251,246546
29,0.972766,0.999704,0.967558,0.983369,51331,73,8266,246531
30,0.97244,0.999712,0.967158,0.983166,51333,71,8368,246429
31,0.969883,0.999703,0.964093,0.981575,51331,73,9149,245648
32,0.972845,0.9997,0.967657,0.983417,51330,74,8241,246556
33,0.971979,0.999712,0.966605,0.98288,51333,71,8509,246288
34,0.972267,0.9997,0.966962,0.983058,51330,74,8418,246379
35,0.972792,0.999708,0.967586,0.983385,51332,72,8259,246538
36,0.971865,0.999712,0.966467,0.982809,51333,71,8544,246253
37,0.972832,0.999692,0.967649,0.983409,51328,76,8243,246554
38,0.959634,0.999699,0.951777,0.97515,51331,73,12287,242510
39,0.972185,0.999712,0.966852,0.983007,51333,71,8446,246351
40,0.972809,0.999712,0.967602,0.983395,51333,71,8255,246542
41,0.972825,0.999708,0.967625,0.983405,51332,72,8249,246548
42,0.972717,0.9997,0.967504,0.983338,51330,74,8280,246517
43,0.971852,0.999704,0.96646,0.982801,51331,73,8546,246251
44,0.972861,0.999696,0.96768,0.983428,51329,75,8235,246562
45,0.972564,0.999716,0.967303,0.983243,51334,70,8331,246466
46,0.972208,0.999708,0.966883,0.983022,51332,72,8438,246359
47,0.972737,0.999708,0.967519,0.98335,51332,72,8276,246521
48,0.972711,0.9997,0.967496,0.983334,51330,74,8282,246515
49,0.972766,0.999712,0.967551,0.983368,51333,71,8268,246529
50,0.972825,0.999708,0.967625,0.983405,51332,72,8249,246548
51,0.966568,0.99971,0.960102,0.979505,51333,71,10166,244631
52,0.971483,0.999712,0.966008,0.982571,51333,71,8661,246136
53,0.971297,0.999699,0.965796,0.982455,51330,74,8715,246082
54,0.972603,0.999708,0.967358,0.983267,51332,72,8317,246480
55,0.970856,0.999711,0.965255,0.982181,51333,71,8853,245944
56,0.972812,0.999704,0.967613,0.983397,51331,73,8252,246545
57,0.972492,0.999712,0.967221,0.983198,51333,71,8352,246445
58,0.972825,0.9997,0.967633,0.983405,51330,74,8247,246550
59,0.972809,0.999696,0.967617,0.983395,51329,75,8251,246546
60,0.971943,0.999712,0.966562,0.982857,51333,71,8520,246277
