Iteration,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
2,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
3,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
4,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
5,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
6,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
7,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
8,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
9,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
10,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
11,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
12,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
13,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
14,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
15,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
16,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
17,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
18,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
19,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
20,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
21,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
22,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
23,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
24,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
25,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
26,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
27,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
28,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
29,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
30,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
31,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
32,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
33,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
34,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
35,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
36,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
37,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
38,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
39,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
40,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
41,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
42,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
43,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
44,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
45,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
46,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
47,0.981914,0.999391,0.978862,0.98902,51252,152,5386,249411
