Run,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
2,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
3,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
4,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
5,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
6,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
7,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
8,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
9,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
10,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
11,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
12,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
13,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
14,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
15,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
16,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
17,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
18,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
19,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
20,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
21,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
22,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
23,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
24,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
25,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
26,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
27,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
28,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
29,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
30,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
31,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
32,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
33,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
34,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
35,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
36,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
37,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
38,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
39,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
40,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
41,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
42,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
43,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
44,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
45,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
46,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
47,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
48,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
49,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
50,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
51,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
52,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
53,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
54,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
55,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
56,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
57,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
58,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
59,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
60,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
61,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
62,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
63,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
64,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
65,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
66,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
67,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
68,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
69,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
70,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
71,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
72,LDAP,0.997174,0.999303,0.995139,0.997216,1390,1,7,1433
73,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
74,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
75,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
76,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
77,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
78,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
79,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
80,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
81,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
82,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
83,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
84,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
85,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
86,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
87,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
88,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
89,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
90,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
91,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
92,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
93,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
94,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
95,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
96,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
97,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
98,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
99,LDAP,0.997174,0.998607,0.995833,0.997218,1389,2,6,1434
100,LDAP,0.997527,0.999303,0.995833,0.997565,1390,1,6,1434
1,MSSQL,0.999134,0.999356,0.999517,0.999437,1867,4,3,6209
2,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
3,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
4,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
5,MSSQL,0.999258,0.999517,0.999517,0.999517,1868,3,3,6209
6,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
7,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
8,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
9,MSSQL,0.999258,0.999678,0.999356,0.999517,1869,2,4,6208
10,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
11,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
12,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
13,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
14,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
15,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
16,MSSQL,0.999258,0.999517,0.999517,0.999517,1868,3,3,6209
17,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
18,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
19,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
20,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
21,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
22,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
23,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
24,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
25,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
26,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
27,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
28,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
29,MSSQL,0.999134,0.999517,0.999356,0.999437,1868,3,4,6208
