Run,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
1,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
1,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
1,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
1,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
1,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
2,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
2,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
2,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
2,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
2,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
2,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
3,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
3,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
3,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
3,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
3,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
3,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
4,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
4,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
4,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
4,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
4,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
4,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
5,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
5,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
5,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
5,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
5,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
5,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
6,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
6,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
6,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
6,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
6,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
6,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
7,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
7,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
7,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
7,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
7,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
7,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
8,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
8,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
8,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
8,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
8,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
8,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
9,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
9,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
9,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
9,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
9,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
9,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
10,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
10,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
10,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
10,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
10,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
10,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
11,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
11,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
11,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
11,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
11,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
11,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
12,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
12,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
12,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
12,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
12,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
12,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
13,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
13,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
13,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
13,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
13,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
13,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
14,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
14,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
14,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
14,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
14,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
14,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
15,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
15,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
15,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
15,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
15,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
15,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
16,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
16,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
16,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
16,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
16,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
16,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
17,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
17,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
17,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
17,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
17,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
17,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
18,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
18,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
18,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
18,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
18,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
18,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
19,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
19,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
19,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
19,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
19,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
19,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
20,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
20,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
20,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
20,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
20,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
20,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
21,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
21,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
21,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
21,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
21,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
21,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
22,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
22,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
22,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
22,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
22,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
22,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
23,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
23,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
23,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
23,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
23,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
23,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
24,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
24,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
24,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
24,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
24,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
24,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
25,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
25,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
25,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
25,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
25,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
25,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
26,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
26,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
26,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
26,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
26,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
26,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
27,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
27,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
27,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
27,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
27,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
27,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
28,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
28,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
28,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
28,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
28,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
28,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
29,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
29,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
29,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
29,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
29,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
29,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
30,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
30,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
30,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
30,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
30,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
30,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
31,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
31,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
31,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
31,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
31,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
31,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
32,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
32,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
32,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
32,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
32,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
32,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
33,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
33,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
33,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
33,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
33,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
33,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
34,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
34,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
34,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
34,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
34,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
34,UDPLag,0.989892,0.999432,0.98644,0.992893,3537,5,121,8802
35,LDAP,0.996821,0.997912,0.995833,0.996872,1388,3,6,1434
35,MSSQL,0.99901,0.999517,0.999195,0.999356,1868,3,5,6207
35,NetBIOS,0.988315,0.96732,0.989967,0.978512,1607,20,6,592
35,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
35,UDP,0.999198,0.999808,0.999232,0.99952,2040,2,8,10412
