Iteration,Attack/File,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
1,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
1,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
1,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
1,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
1,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
1,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
2,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
2,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
2,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
2,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
2,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
2,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
3,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
3,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
3,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
3,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
3,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
3,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
4,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
4,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
4,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
4,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
4,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
4,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
5,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
5,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
5,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
5,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
5,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
5,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
6,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
6,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
6,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
6,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
6,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
6,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
7,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
7,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
7,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
7,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
7,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
7,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
8,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
8,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
8,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
8,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
8,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
8,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
9,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
9,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
9,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
9,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
9,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
9,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
10,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
10,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
10,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
10,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
10,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
10,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
11,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
11,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
11,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
11,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
11,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
11,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
12,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
12,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
12,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
12,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
12,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
12,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
13,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
13,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
13,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
13,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
13,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
13,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
14,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
14,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
14,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
14,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
14,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
14,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
15,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
15,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
15,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
15,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
15,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
15,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
16,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
16,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
16,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
16,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
16,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
16,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
17,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
17,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
17,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
17,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
17,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
17,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
18,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
18,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
18,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
18,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
18,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
18,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
19,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
19,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
19,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
19,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
19,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
19,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
20,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
20,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
20,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
20,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
20,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
20,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
21,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
21,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
21,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
21,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
21,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
21,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
22,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
22,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
22,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
22,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
22,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
22,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
23,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
23,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
23,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
23,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
23,UDP,0.999278,1.0,0.999136,0.999568,2042,0,9,10411
23,UDPLag,0.990293,0.999773,0.986664,0.993175,3540,2,119,8804
24,LDAP,0.997881,0.999304,0.996528,0.997914,1390,1,5,1435
24,MSSQL,0.999505,1.0,0.999356,0.999678,1871,0,4,6208
24,NetBIOS,0.991461,0.972268,0.996656,0.98431,1610,17,2,596
24,Syn,0.998897,0.998127,1.0,0.999063,373,1,0,533
